Student_ID,Course,Department,Year,Year_of_Joining,Email,Password,First_Name,Last_Name,Current_Address,Per_Address,Mobile_Number,Land_Line,tenth,Inter,Eamcet_Rank,Sem1,Sem2,Sem3,Sem4,Sem5,Sem6,Sem7,Sem8,Sem1_backlogs,Sem2_backlogs,Sem3_backlogs,Sem4_backlogs,Sem5_backlogs,Sem6_backlogs,Sem7_backlogs,Sem8_backlogs,img_url,achivements,Remarks,Gender,Overall,total_baklogs,Checked,TimeStamp
023,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066,1,1,2013,2008,siddu.siddhartha@gmail.com,abc123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
